collection	name_in_text	gene_set	n_significant	n_cancers_tested	n_positive	n_negative	median_NES	min_NES	max_NES	cancers_not_significant	shown_in_Figure_6
Hallmark	G2M checkpoint	HALLMARK_G2M_CHECKPOINT	32	32	32	0	1.912	1.44	2.361	none	yes
Hallmark	MYC targets V1	HALLMARK_MYC_TARGETS_V1	31	32	31	0	1.834	1.497	2.344	OV	yes
Hallmark	mitotic spindle	HALLMARK_MITOTIC_SPINDLE	31	32	31	0	1.597	1.36	1.921	KICH	yes
Hallmark	E2F targets	HALLMARK_E2F_TARGETS	30	32	30	0	1.91	1.401	2.302	THCA, THYM	yes
Hallmark	MYC targets V2	HALLMARK_MYC_TARGETS_V2	26	32	26	0	1.777	1.404	2.36	KICH, KIRP, PCPG, THCA, THYM, UVM	yes
Hallmark	unfolded protein response	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	22	32	22	0	1.508	1.358	1.822	CESC, DLBC, KICH, LIHC, LUSC, MESO, PCPG, SARC, THCA, THYM	yes
Hallmark	mTORC1 signalling	HALLMARK_MTORC1_SIGNALING	21	32	21	0	1.494	1.358	1.886	GBM, KICH, KIRC, LGG, LIHC, LUSC, OV, PCPG, SARC, THCA, THYM	yes
Hallmark	PI3K-AKT-mTOR signalling	HALLMARK_PI3K_AKT_MTOR_SIGNALING	20	32	20	0	1.423	1.31	1.64	CESC, GBM, HNSC, KICH, LAML, LGG, LUSC, OV, READ, SARC, THCA, UVM	yes
Hallmark	DNA repair	HALLMARK_DNA_REPAIR	14	32	14	0	1.451	1.331	1.684	BRCA, CESC, DLBC, HNSC, KICH, KIRC, KIRP, LUSC, MESO, OV, PRAD, READ, SARC, SKCM, THCA, THYM, UCS, UVM	yes
Hallmark	TGF-beta signalling	HALLMARK_TGF_BETA_SIGNALING	22	32	22	0	1.446	1.316	1.706	COAD, GBM, KICH, LAML, LGG, PCPG, SKCM, STAD, THYM, UVM	yes
Hallmark	coagulation	HALLMARK_COAGULATION	3	32	0	3	-1.644	-2.209	-1.472	ACC, BLCA, BRCA, CESC, COAD, ESCA, GBM, HNSC, KICH, KIRC, KIRP, LAML, LGG, LIHC, LUAD, LUSC, MESO, OV, PAAD, PCPG, PRAD, READ, SKCM, STAD, THCA, THYM, UCEC, UCS, UVM	no
Reactome	transport of mature transcripts to the cytoplasm	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	31	32	31	0	1.889	1.62	2.153	UCS	yes
Reactome	processing of capped intron-containing pre-mRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	31	32	31	0	1.82	1.525	2.082	UCS	no
Reactome	snRNP assembly	REACTOME_SNRNP_ASSEMBLY	31	32	31	0	1.839	1.563	2.158	UCS	yes
Reactome	nuclear tRNA processing	REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS	31	32	31	0	1.778	1.472	2.292	UCS	yes
Reactome	gene silencing by RNA	REACTOME_GENE_SILENCING_BY_RNA	31	32	31	0	1.838	1.55	2.095	UCS	yes
Reactome	SUMOylation of RNA-binding proteins	REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS	31	32	31	0	1.857	1.598	2.172	UCS	yes
Reactome	SUMOylation of DNA-repair proteins	REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	31	32	31	0	1.827	1.635	2.071	UCS	no
Reactome	chromatin-modifying enzymes	REACTOME_CHROMATIN_MODIFYING_ENZYMES	31	32	31	0	1.817	1.568	2.032	UVM	yes
Reactome	histone acetylation	REACTOME_HATS_ACETYLATE_HISTONES	31	32	31	0	1.743	1.451	1.899	UCS	no
