cohort	comparator	n_tumour	n_normal	median_tumour	median_normal	log2FC	p	cliffs_delta	delta_lo	delta_hi	hedges_g	g_lo	g_hi	tissue_match	gtex_tissue	note	q	full_name
ACC	GTEx	77	128	7.4944000244140625	7.651099920272827	-0.15669989585876465	0.15077644711179117	-0.12002840909090906	-0.30063159496753245	0.07510399756493488	-0.09032193257419063	-0.3731303503005086	0.19248648515212735	good	Adrenal Gland		0.1619450728237757	Adrenocortical carcinoma
ACC	TCGA_adjacent	77	0													insufficient normals		Adrenocortical carcinoma
BLCA	GTEx	407	9	8.020299911499023	7.886600017547607	0.13369989395141602	0.5246113381644084	0.12421512421512415	-0.05707070707070711	0.2863909363909364	0.06118915679420117	-0.5993414150343581	0.7217197286227603	good	Bladder		0.5433474573845658	Bladder urothelial carcinoma
BLCA	TCGA_adjacent	407	19	8.020299911499023	8.103099822998047	-0.08279991149902344	0.490132028499784	-0.09375404112246222	-0.24195008405534724	0.05781068149489189	-0.2007066851712901	-0.6609357419456967	0.2595223716031166	good	Bladder		0.5146386299247732	Bladder urothelial carcinoma
BRCA	GTEx	1092	179	8.62814998626709	7.768700122833252	0.8594498634338379	6.25577640284357e-63	0.7798463175558148	0.7421327276075879	0.8167294646694088	1.4806290588588877	1.3124099116677186	1.6488482060500569	good	Breast		6.047250522748785e-62	Breast invasive carcinoma
BRCA	TCGA_adjacent	1092	113	8.62814998626709	8.547699928283691	0.08045005798339844	0.04466645186295792	0.1146066323057473	0.03220728386657592	0.2046936286427436	0.1258022205128774	-0.06794936835905391	0.3195538093848087	good	Breast		0.06699967779443688	Breast invasive carcinoma
CESC	GTEx	304	10	8.112800121307373	7.9912497997283936	0.12155032157897949	0.5473115403149238	0.1121710526315789	-0.10529605263157894	0.33424342105263144	0.06227182632499905	-0.5676652461766959	0.692208898826694	good	Cervix Uteri		0.5473115403149238	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CESC	TCGA_adjacent	304	3	8.112800121307373	7.925899982452393	0.18690013885498047	0.3141473916544467	0.3388157894736843	0.14254385964912286	0.5855263157894737	0.3191339422149194	-0.8183244414075129	1.4565923258373519	good	Cervix Uteri		0.38806442498490473	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CHOL	GTEx	36	110	8.182650089263916	6.210449934005737	1.9722001552581787	1.2397065838839578e-16	0.9212121212121211	0.8535227272727274	0.9732323232323232	2.4005903114120346	1.9331456111587046	2.8680350116653646	approximate	Liver		2.1147935842726338e-16	Cholangiocarcinoma
CHOL	TCGA_adjacent	36	9	8.182650089263916	6.305799961090088	1.8768501281738281	4.592351204467375e-06	1.0	1.0	1.0	3.956570962395303	2.846239315832669	5.066902608957937	approximate	Liver		1.2054921911726858e-05	Cholangiocarcinoma
COAD	GTEx	288	308	8.579100131988525	7.489950180053711	1.0891499519348145	6.497237975944909e-73	0.8554518398268398	0.8078480113636364	0.897502931096681	0.8275176379764642	0.6601080016881199	0.9949272742648084	good	Colon		9.420995065120119e-72	Colon adenocarcinoma
COAD	TCGA_adjacent	288	41	8.579100131988525	7.7129998207092285	0.8661003112792969	1.5258607272074972e-17	0.8229166666666667	0.7506690379403794	0.8895685128726286	1.5131277797665517	1.1660178347636907	1.8602377247694126	good	Colon		3.204307527135744e-16	Colon adenocarcinoma
DLBC	GTEx	47	100	8.425399780273438	7.730499982833862	0.6948997974395752	6.759983961999162e-08	0.553191489361702	0.35318085106382974	0.7493723404255318	0.5329769247733297	0.1809610984748487	0.8849927510718107	approximate	Spleen		8.523458039042421e-08	Lymphoid neoplasm diffuse large B-cell lymphoma
DLBC	TCGA_adjacent	47	0													insufficient normals		Lymphoid neoplasm diffuse large B-cell lymphoma
