cohort	full_name	n_I	n_II	n_III	n_IV	n_total	median_I	median_IV	kruskal_p	trend_z	trend_p	late_vs_early_delta	delta_lo	delta_hi	kruskal_q	trend_q
ACC	Adrenocortical carcinoma	9	36	15	14	74	7.363699913024902	7.737100124359131	0.14382848278781699	2.1934335140840093	0.02827615989766505	0.5873015873015872	0.19047619047619047	0.9047619047619047	0.2716760230436543	0.09613894365206117
BLCA	Bladder urothelial carcinoma	2	129	140	133	404	7.290555953979492	8.006199836730957	0.0703792224150651	0.36316626246426925	0.716480688247473	0.02914262400186507	-0.11341143556565828	0.18296322200850954	0.19940779684268442	0.9933444449868328
BRCA	Breast invasive carcinoma	180	612	248	19	1059	8.630300045013428	8.25979995727539	0.196441441882727	-0.9680098943022528	0.3330394282893311	-0.27543859649122804	-0.4842397660818713	-0.05491228070175469	0.3339504512006359	0.6290744756576254
COAD	Colon adenocarcinoma	44	108	81	37	270	8.663150310516357	8.579400062561035	0.12093921991233937	0.5448834566787191	0.5858336749123759	-0.09950859950859947	-0.34401105651105646	0.15482186732186706	0.2569958423137212	0.9053793157736719
ESCA	Esophageal carcinoma	18	75	54	9	156	8.51924991607666	8.614500045776367	0.6604170416622723	-0.008341597926540819	0.9933444449868328	0.19753086419753085	-0.2962962962962963	0.6666666666666667	0.7103185919365015	0.9933444449868328
HNSC	Head and neck squamous cell carcinoma	27	73	78	265	443	8.477399826049805	8.558600425720215	0.11012644176606066	1.0901252130731884	0.275657991277252	0.0923829489867225	-0.11325296995108314	0.2970055904961565	0.2569958423137212	0.5857732314641605
KICH	Kidney chromophobe	20	25	14	6	65	6.7545998096466064	6.875349998474121	0.33921606094092743	0.011940635442599448	0.9904729777265728	0.2666666666666666	-0.25	0.7166666666666666	0.4805560863329805	0.9933444449868328
KIRC	Kidney renal clear cell carcinoma	248	54	124	81	507	7.847149848937988	7.634500026702881	0.006107611183429286	-2.947303982547554	0.0032055791222577214	-0.1347072879330944	-0.28276831939466346	0.0005749701314212327	0.03763568311221644	0.01816494835946042
KIRP	Kidney renal papillary cell carcinoma	167	22	50	15	254	7.3730998039245605	7.759699821472168	0.048297417901042736	2.353858325897199	0.01857969089341515	0.4011976047904191	0.08980039920159674	0.6694810379241515	0.16421122086354528	0.07896368629701439
LIHC	Liver hepatocellular carcinoma	167	86	84	6	343	7.027400016784668	6.7298500537872314	0.0031051628940799536	3.4675734253112664	0.0005251802431956276	-0.005988023952095856	-0.5310379241516966	0.532934131736527	0.03763568311221644	0.004790457295775426
LUAD	Lung adenocarcinoma	274	123	82	27	506	8.031900405883789	8.2568998336792	0.006641591137449961	3.4485604943004278	0.0005635832112676972	0.25763719924303863	0.047039740470397495	0.45012841308461743	0.03763568311221644	0.004790457295775426
LUSC	Lung squamous cell carcinoma	233	156	82	7	478	8.387399673461914	8.399800300598145	0.3164777815450603	0.8456259129031986	0.3977614650806601	0.016554261189454245	-0.5048129981606377	0.4997854077253214	0.4805560863329805	0.6761944906371222
MESO	Mesothelioma	10	16	45	16	87	8.576300144195557	8.20959997177124	0.032122034859898646	-1.140876751612336	0.25392121527228073	-0.48750000000000004	-0.8125	-0.06218750000000171	0.13651864815456924	0.5857732314641605
READ	Rectum adenocarcinoma	12	25	31	15	83	8.900800228118896	8.781999588012695	0.6685351453520014	0.12790603196909342	0.8982233374380175	-0.11111111111111116	-0.5666666666666667	0.3555555555555556	0.7103185919365015	0.9933444449868328
STAD	Stomach adenocarcinoma	57	122	173	41	393	8.246299743652344	8.148300170898438	0.8080714519474214	-0.16881245057155037	0.8659441647417674	-0.0004278990158322893	-0.2357937526743688	0.2383397518185708	0.8080714519474214	0.9933444449868328
TGCT	Testicular germ cell tumors	100	12	14	0	126	9.193550109863281		0.5454609533005834	-0.27542112229872334	0.7829927181242643	0.05428571428571427	-0.20289285714285712	0.30003571428571413	0.7103185919365015	0.9933444449868328
THCA	Thyroid carcinoma	280	51	109	54	494	8.029999732971191	7.960750102996826	0.6499624497713219	-1.1162175118677178	0.2643290403317897	-0.05846560846560844	-0.20727843915343916	0.08505952380952377	0.7103185919365015	0.5857732314641605
