cohort	measure	n	rho	rho_lo	rho_hi	p	q
ACC	TMB	76	0.33699170554588864	0.10712212519193735	0.5326626102205068	0.002913410097676076	0.008934457632873299
ACC	MSI (MANTIS)	76	-0.0938221985350628	-0.32502830703593877	0.14796697854457083	0.42015766630596246	0.5585911170541698
ACC	Aneuploidy	74	-0.21095382680243127	-0.43067949462499844	0.03238051532524946	0.07120609913497343	0.13997780171832383
ACC	FGA	74	-0.10061095333669588	-0.33416875732574064	0.14458830868843042	0.3937033537371581	0.5373757482727053
ACC	Immune score	77	-0.2872653662127346	-0.49078565992795276	-0.05401881239185814	0.011304304056540034	0.029884941758669056
ACC	Stromal score	77	-0.3259897996740102	-0.5225536887303532	-0.09652152900936019	0.003812869288715258	0.011100758688664674
ACC	Microenvironment score	77	-0.39988958410011044	-0.581700553569946	-0.18002239468361805	0.0003143232893131974	0.0013054450472937344
BLCA	TMB	405	-0.0064094328009957156	-0.10958700974080277	0.09690479516424931	0.8976820856741513	0.9375091793652545
BLCA	MSI (MANTIS)	406	0.008152244200739945	-0.09505049174668492	0.11118160443768865	0.8699205258189091	0.9224985042660313
BLCA	Aneuploidy	396	-0.013053051122969552	-0.11731030588814283	0.09148878894144107	0.7956797208468799	0.8840885787187553
BLCA	FGA	401	-0.024554993262912033	-0.12799281019439776	0.07941127323432808	0.6239553700459259	0.7397409026317678
BLCA	Immune score	407	0.08296175630845194	-0.020206934483477296	0.18438228715967783	0.09463772060301695	0.17696484340401544
BLCA	Stromal score	407	-0.26146693401684784	-0.35490534138842295	-0.16285664455237198	8.695861225665221e-08	1.111137823279445e-06
BLCA	Microenvironment score	407	-0.03553336152431388	-0.13802424901935284	0.06771047289732882	0.4746834364359719	0.6065399465570752
BRCA	TMB	1058	0.10960437674714671	0.04605103133685488	0.17227402714602869	0.00035474893404725144	0.0014314430672082077
BRCA	MSI (MANTIS)	1029	-0.10445465523930336	-0.16808715899381085	-0.03995527569592342	0.0007913273966916054	0.0028889730355407817
BRCA	Aneuploidy	1034	0.05710716483375632	-0.0075335217626816865	0.12127257510722557	0.06641571974329127	0.13283143948658255
BRCA	FGA	1060	0.14986516763813015	0.08688061287257347	0.211656402434875	9.525119062478682e-07	9.12823910154207e-06
BRCA	Immune score	1090	0.03837257580626798	-0.02461790848161827	0.10105957085422976	0.2055528641994957	0.31309376666148353
BRCA	Stromal score	1090	-0.30039262368350766	-0.3565828117190129	-0.2420370605792236	3.6242438316734725e-24	8.335760812848987e-22
BRCA	Microenvironment score	1090	-0.18086719110156976	-0.2410545065177606	-0.11929397789455484	1.8080801096483166e-09	3.198910963223945e-08
CESC	TMB	288	0.048443757643078345	-0.07444445223496858	0.1698826741061535	0.4127730347468075	0.555191801121437
CESC	MSI (MANTIS)	294	0.15578989321812295	0.03526547582978611	0.2718475896453046	0.007445774173786984	0.02038723880917865
CESC	Aneuploidy	291	0.011549569968332781	-0.11041934902327348	0.13317577635262742	0.8444697034457911	0.912118524738399
CESC	FGA	290	-0.07732420549543916	-0.19748436311146747	0.04512506177365212	0.18916158529768898	0.2939673285031653
CESC	Immune score	304	-0.1781674388735006	-0.2911644266950964	-0.06026760764085467	0.0018168332226264608	0.006140401255043325
CESC	Stromal score	304	0.016632639583667792	-0.10275058835971089	0.1355435041828639	0.7727150963758643	0.8711983929727882
CESC	Microenvironment score	304	-0.12694774931314082	-0.24245899612480454	-0.007887535896851053	0.02688020940580557	0.06577072514186469
CHOL	TMB	36	0.07043977745701933	-0.2831473658345754	0.40716968512853946	0.6831042654318678	0.7935049547945939
CHOL	MSI (MANTIS)	36	-0.027799227799227798	-0.3708976102813734	0.32197654674999304	0.872140817105045	0.9224985042660313
CHOL	Aneuploidy	36	-0.0305906420721979	-0.3733045784187182	0.3194701311775231	0.8594239154471072	0.9193837235015565
CHOL	FGA	36	0.1462033462033462	-0.21117269415497228	0.46909995449132685	0.3948543541655965	0.5373757482727053
CHOL	Immune score	36	0.06666666666666667	-0.28663061312422383	0.40400236802033357	0.6992644506229678	0.804154118216413
CHOL	Stromal score	36	-0.20283140283140283	-0.5134036539363086	0.15472077405580603	0.23545653338841935	0.34714745307266953
CHOL	Microenvironment score	36	-0.05122265122265123	-0.3909531116078229	0.30079146377653593	0.7667075666859641	0.8686834499397623
