cohort	full_name	endpoint	n	events	logrank_p	median_surv_high	median_surv_low	uni_HR	uni_HR_lo	uni_HR_hi	uni_p	adj_covariates	n_adj	events_adj	adj_HR	adj_HR_lo	adj_HR_hi	adj_p	ph_p_NCL	ph_p_min_any	logrank_q	uni_q	adj_q
ACC	Adrenocortical carcinoma	OS	76	26	0.012609452322219102	55.13364237	inf	2.2999691792634467	1.280016333922437	4.132649002494927	0.005342305585850749	age+male+stage	74	25	2.162134537741882	1.1033387251492777	4.236981493297822	0.02467429927049581	0.8811152499553486	0.2344420654456974	0.1632342851200288	0.0441405554851624	0.1184366364983799
ACC	Adrenocortical carcinoma	DSS	74	24	0.014909829406981845	69.20472104	inf	2.1859165315916003	1.2033572511230162	3.970750231177179	0.010235110429099246	age+male+stage	73	24	2.212872008323859	1.0707905724919478	4.5730721310212985	0.0319815430167803	0.8466175014436164	0.2229566402822614	0.08945897644189107	0.040940441716396984	0.16178712364300468
ACC	Adrenocortical carcinoma	PFS	76	39	4.138562552292041e-06	13.61080975	inf	3.092087517481417	1.8320141121155231	5.21884910849502	2.3691254680240283e-05	age+male+stage	74	38	2.4138192768747273	1.4008133147604716	4.159386150900716	0.0015036772570862123	0.2081189125253424	0.17916279701583054	0.0001324340016733453	0.0007581201497676891	0.043606640455500154
BLCA	Bladder urothelial carcinoma	OS	404	177	0.22250866540264772	33.00785745	44.94197324	1.2505812272422583	1.0538852084860828	1.4839883825463194	0.010434745942604724	age+male+stage	402	176	1.2676995422734298	1.058708162167344	1.5179462923855727	0.009862158270926666	0.6151332708151857	0.08721957968060746	0.5158314725294014	0.04869548106548871	0.07889726616741333
BLCA	Bladder urothelial carcinoma	DSS	391	121	0.23831743153233567	86.82644574	inf	1.3197865027697802	1.069117471759296	1.6292282736966144	0.009827308584744609	age+male+stage	389	121	1.3216725707354715	1.0585654418213055	1.6501751476309645	0.013797913798889038	0.30458668214840406	0.07252642620387649	0.4085441683411469	0.040940441716396984	0.1448780948883349
BLCA	Bladder urothelial carcinoma	PFS	405	174	0.2158770830347183	29.8188513	30.14761482	1.289009216243308	1.0871985259564196	1.5282809164025577	0.0034742613576249077	age+male+stage	403	174	1.2722921706208168	1.064970769369559	1.5199735185044405	0.00796440378997672	0.48086132770325585	0.13701851391482367	0.5053637946686957	0.02223527268879941	0.057741927477331215
BRCA	Breast invasive carcinoma	OS	1065	151	0.23949318367436495	120.6233356	212.2497288	1.0938755301355343	0.930953829505738	1.2853093649816936	0.27550972660100026	age+male+stage	1046	143	1.2329981432296966	1.0388406839502646	1.4634432831672428	0.0165821465669308	0.45051282961600314	0.0003669187833781189	0.5158314725294014	0.48192202465772455	0.0994928794015848
BRCA	Breast invasive carcinoma	DSS	1044	83	0.9508203217168729	inf	inf	0.9862512709340968	0.7969373924729145	1.2205369940050592	0.8986959697979442	age+male+stage	1026	80	1.10828180155064	0.8817273709867223	1.3930480010774542	0.37823336464861435	0.32789022900859305	0.004337596761795305	0.9508203217168729	0.8986959697979442	0.49643129110130635
BRCA	Breast invasive carcinoma	PFS	1063	145	0.7153702880538491	146.4970247	168.2282934	0.9839391769894489	0.8361579372775939	1.1578390407520163	0.8453997781636005	age+male+stage	1044	139	1.0438987964815698	0.8789979908857113	1.2397351400059773	0.6243117499769588	0.21764132767209687	0.027784512072857894	0.798932767948255	0.9328549276288005	0.9052520374665903
CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma	OS	281	68	0.3296880867477048	inf	94.94690469	1.1695644672278829	0.8848826975813331	1.545833189801199	0.27107106278053217	age+grade	254	58	1.249328279809862	0.9127869736408485	1.7099511669267096	0.16449395695521993	0.9612842823028042	0.5164036184175684	0.5176211013150285	0.48192202465772455	0.3946470854702408
CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma	DSS	277	51	0.2172458431960545	inf	inf	1.1201634773499891	0.8187122668293065	1.5326095220830818	0.4780539741327059	age+grade	251	44	1.130823467118392	0.8044616998539926	1.589586818139077	0.47917125704401176	0.7532758731167697	0.2603884684789336	0.4085441683411469	0.7170809611990588	0.5919174351720146
CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma	PFS	281	68	0.7637377522178155	inf	inf	1.2886417288634442	0.9738869869304253	1.7051234153997377	0.07593429458066336	age+grade	254	59	1.2266718482991572	0.9117696818668135	1.6503332511877409	0.1771004549906857	0.32618653484986404	0.32618653484986404	0.798932767948255	0.22089976605283887	0.46690119952089865
CHOL	Cholangiocarcinoma	OS	36	18	0.378664062462584	30.37774929	40.10914949	0.9421070763344097	0.5881438125867001	1.509096456146991	0.8040678705329309	age+male+stage+grade	36	18	0.9782147686916587	0.5897193270629658	1.6226433317901148	0.9320207062159929	0.5819401704759852	0.48533904739261624	0.5301296874476176	0.8915347509539029	0.9320207062159929
CHOL	Cholangiocarcinoma	DSS	35	16	0.3593855687722035	inf	40.10914949	0.927408073515312	0.5634565268589472	1.526445597526447	0.7669110349473177	age+male+stage+grade	35	16	0.9981389991283206	0.578235099677585	1.722969536329422	0.9946640313831668	0.69841810736021	0.40333685085835724	0.507367861796052	0.8366302199425284	0.9946640313831668
CHOL	Cholangiocarcinoma	PFS	36	20	0.3660719250080746	18.04911727	9.698523852	0.9332188243167646	0.5897154898554904	1.4768093920554428	0.767895410814436	age+male+stage+grade	36	20	0.9402278301381709	0.5778425098952734	1.5298777044398344	0.8040279144566549	0.4918463999816708	0.13362762425230734	0.6121778236987041	0.9100982646689612	0.912456128723859
COAD	Colon adenocarcinoma	OS	273	66	0.827212298125679	65.85133314	83.24292337	0.9483406128255817	0.7458595359905721	1.2057899303251223	0.6651263313340763	age+male+stage	266	62	0.9508060889623436	0.7497789322537597	1.2057316895934096	0.6772330129945424	0.15324444001114257	0.07393856894927316	0.8908440133661158	0.8465244216979152	0.8126796155934508
COAD	Colon adenocarcinoma	DSS	259	34	0.8675447050969728	inf	inf	1.0717824958684938	0.7626009613702255	1.5063155918215814	0.6897334213087511	age+male+stage	253	32	1.0705531140542661	0.769050577649073	1.4902582526038466	0.6862377856016627	0.1322019984881423	0.1322019984881423	0.9268840067018671	0.7882667672100014	0.8006107498686066
COAD	Colon adenocarcinoma	PFS	272	78	0.672121876689511	inf	63.41848309	1.012591961773109	0.8182421983008448	1.2531038892600885	0.908378091343033	age+male+stage	265	76	0.9721385210700964	0.794784719756714	1.1890682856077526	0.7833535437622194	0.11782272447504237	0.11782272447504237	0.798932767948255	0.9451308625036343	0.912456128723859
DLBC	Lymphoid neoplasm diffuse large B-cell lymphoma	PFS	46	12	0.3801564277751942	inf	120.6233356	1.3474412016589572	0.675311810463233	2.6885325619919453	0.3974970465894694	age+male	46	12	1.343150576370252	0.6649894104238492	2.712905562892915	0.4107880079150835	0.9762929805725847	0.08136914557317299	0.6121778236987041	0.635995274543151	0.7007560135022013
