cohort	cell_type	n_algorithms	n_significant	n_positive	n_negative	median_rho	concordant	direction
ACC	B cell	5	0	0	0	-0.03891941409808382	False	mixed
ACC	Cancer associated fibroblast	3	2	1	1	0.19328156796063442	False	mixed
ACC	Endothelial cell	3	2	1	1	-0.20411696784816247	False	mixed
ACC	Macrophage	3	1	0	1	-0.07408288427514287	False	negative
ACC	Monocyte	5	2	0	2	-0.2684579982361979	True	negative
ACC	Myeloid dendritic cell	4	2	1	1	-0.20809223443511093	False	mixed
ACC	NK cell	4	0	0	0	-0.06618948906877613	False	mixed
ACC	Neutrophil	6	1	1	0	0.15797291438157623	False	positive
ACC	T cell CD8+	7	4	0	4	-0.31349593966321493	True	negative
ACC	T cell regulatory (Tregs)	4	0	0	0	-0.1645323299908805	False	mixed
BLCA	B cell	5	1	1	0	0.03973681543160578	False	positive
BLCA	Cancer associated fibroblast	3	2	2	0	0.1882253114834598	True	positive
BLCA	Endothelial cell	3	2	0	2	-0.24420562910589272	True	negative
BLCA	Macrophage	3	3	3	0	0.16866925754864198	True	positive
BLCA	Monocyte	5	2	1	1	0.08528286400066794	False	mixed
BLCA	Myeloid dendritic cell	4	3	2	1	0.1063778812511445	False	positive
BLCA	NK cell	4	1	1	0	0.042574491082367785	False	positive
BLCA	Neutrophil	6	4	4	0	0.18801985024700152	True	positive
BLCA	T cell CD8+	7	3	2	1	0.07050606286190472	False	positive
BLCA	T cell regulatory (Tregs)	4	3	1	2	-0.059553848564946214	False	negative
BRCA	B cell	5	1	1	0	-0.007519422372790305	False	positive
BRCA	Cancer associated fibroblast	3	1	0	1	-0.06925019084199573	False	negative
BRCA	Endothelial cell	3	2	0	2	-0.15610349779727564	True	negative
BRCA	Macrophage	3	1	1	0	0.01812786592479487	False	positive
BRCA	Monocyte	5	1	1	0	0.015757350426068656	False	positive
BRCA	Myeloid dendritic cell	4	2	2	0	0.08576635866718119	True	positive
BRCA	NK cell	4	1	0	1	0.0015975379718274922	False	negative
BRCA	Neutrophil	6	5	5	0	0.12219930475635654	True	positive
BRCA	T cell CD8+	7	4	2	2	-0.025204526964057932	False	mixed
BRCA	T cell regulatory (Tregs)	4	4	2	2	0.03383616979428081	False	mixed
CESC	B cell	5	3	0	3	-0.13878174906159066	True	negative
CESC	Cancer associated fibroblast	3	1	1	0	0.10901854509298824	False	positive
CESC	Endothelial cell	3	1	1	0	0.06227057806051482	False	positive
CESC	Macrophage	3	2	0	2	-0.2042169815148847	True	negative
CESC	Monocyte	5	1	0	1	0.011589759607147226	False	negative
CESC	Myeloid dendritic cell	4	3	0	3	-0.1517424072515311	True	negative
CESC	NK cell	4	2	0	2	-0.16254149333435544	True	negative
CESC	Neutrophil	6	1	1	0	0.02343110695564168	False	positive
CESC	T cell CD8+	7	0	0	0	-0.06406471073228863	False	mixed
CESC	T cell regulatory (Tregs)	4	0	0	0	-0.09319459544078468	False	mixed
CHOL	B cell	5	0	0	0	0.05064757732323226	False	mixed
CHOL	Cancer associated fibroblast	3	0	0	0	0.30237812966447547	False	mixed
CHOL	Endothelial cell	3	0	0	0	-0.017927019004050092	False	mixed
CHOL	Macrophage	3	0	0	0	-0.02395106980195509	False	mixed
CHOL	Monocyte	5	1	1	0	-0.0483716135158295	False	positive
CHOL	Myeloid dendritic cell	4	1	1	0	0.04154214274695041	False	positive
CHOL	NK cell	4	1	0	1	-0.13204348970054394	False	negative
CHOL	Neutrophil	6	0	0	0	0.13057382651433397	False	mixed
CHOL	T cell CD8+	7	0	0	0	-0.044840127757349454	False	mixed
CHOL	T cell regulatory (Tregs)	4	0	0	0	0.0009945364014723596	False	mixed
COAD	B cell	5	0	0	0	-0.019150081585347516	False	mixed
COAD	Cancer associated fibroblast	3	0	0	0	-0.0033787550745754957	False	mixed
COAD	Endothelial cell	3	1	1	0	0.08768650516613388	False	positive
COAD	Macrophage	3	2	0	2	-0.18661214982908858	True	negative
COAD	Monocyte	4	1	0	1	-0.018906677011474853	False	negative
COAD	Myeloid dendritic cell	4	2	0	2	-0.10273530756371807	True	negative
